aX,aY,aZ,gX,gY,gZ
0.111,-0.547,0.831,1.892,1.404,6.104
0.131,-0.564,0.843,-0.244,-2.258,3.479
0.132,-0.575,0.850,-3.418,-4.883,3.235
0.129,-0.580,0.858,-5.554,-5.432,4.089
0.118,-0.583,0.860,-7.324,-4.944,4.761
0.112,-0.574,0.861,-8.850,-4.395,4.944
0.109,-0.556,0.863,-9.644,-3.601,5.066
0.116,-0.533,0.865,-9.705,-2.441,5.920
0.121,-0.509,0.870,-9.094,-1.038,7.202

0.125,0.756,1.837,42.969,-20.386,15.076
-0.079,0.949,1.830,44.983,-10.376,20.813
-0.294,1.043,1.770,45.227,1.099,21.179
-0.468,1.020,1.665,40.649,8.301,10.132
-0.601,0.930,1.471,26.367,3.906,-14.771
-0.695,0.732,1.184,9.277,-9.216,-48.950
-0.712,0.368,0.875,0.854,-22.034,-84.534
-0.649,-0.099,0.636,7.690,-29.846,-117.310
-0.521,-0.728,0.437,21.301,-32.715,-139.893
-0.421,-1.312,0.322,35.217,-33.936,-150.024
-0.370,-1.751,0.194,41.565,-33.325,-149.292
-0.320,-2.087,0.018,46.692,-19.043,-138.550
-0.232,-2.350,-0.136,56.152,6.958,-123.169
-0.064,-2.573,-0.254,63.110,30.334,-113.403
0.179,-2.723,-0.281,62.378,34.973,-114.014
0.428,-2.786,-0.198,55.237,23.804,-115.601
0.621,-2.738,-0.100,44.312,18.005,-103.699
0.760,-2.542,-0.065,31.921,30.029,-73.792
0.773,-2.247,-0.088,20.325,52.307,-30.151
0.660,-1.915,-0.113,11.841,67.505,13.184
0.458,-1.584,-0.068,4.639,59.875,41.687
0.204,-1.277,0.055,-3.113,31.433,51.270
0.005,-1.028,0.178,-11.536,-0.916,45.898
-0.127,-0.858,0.303,-18.005,-23.193,36.743
-0.242,-0.740,0.403,-20.447,-31.067,33.386
-0.353,-0.650,0.496,-18.250,-27.100,35.828
-0.466,-0.559,0.581,-13.977,-18.494,38.269
-0.517,-0.502,0.625,-11.597,-9.766,34.851
-0.482,-0.508,0.630,-10.071,-3.967,26.489
-0.392,-0.546,0.633,-6.958,-0.244,17.517
-0.284,-0.601,0.638,-2.869,3.906,11.414
-0.181,-0.667,0.640,1.160,8.667,9.277
-0.109,-0.747,0.651,4.272,11.108,10.132
-0.071,-0.822,0.670,4.395,8.789,11.047
-0.039,-0.897,0.677,1.160,1.831,8.972
-0.002,-0.962,0.667,-3.662,-6.775,4.639
0.022,-1.003,0.667,-7.751,-13.367,2.380
0.033,-1.017,0.667,-10.864,-14.648,3.479
0.053,-1.009,0.639,-13.428,-10.803,7.202
0.067,-0.984,0.598,-15.869,-7.019,11.230
0.077,-0.931,0.570,-17.517,-6.165,13.367
0.077,-0.875,0.561,-18.311,-7.202,14.465
0.052,-0.817,0.562,-18.555,-9.949,15.747
0.012,-0.747,0.583,-16.235,-11.475,16.296
-0.011,-0.701,0.596,-13.245,-11.719,14.832
-0.025,-0.684,0.614,-10.864,-13.000,11.230
