aX,aY,aZ,gX,gY,gZ
0.143,-0.877,0.686,-122.986,19.958,35.583
0.155,-0.869,0.708,-138.916,20.813,34.424
0.161,-0.848,0.702,-153.076,23.193,33.569
0.184,-0.841,0.685,-165.100,25.269,32.349
0.210,-0.842,0.678,-177.734,26.123,32.288
0.210,-0.838,0.677,-189.087,25.635,34.912
0.193,-0.820,0.669,-194.885,26.306,38.452
0.164,-0.788,0.658,-194.336,29.175,40.039
0.173,-0.760,0.642,-190.125,33.447,39.795
0.203,-0.726,0.671,-184.998,35.095,39.124
0.204,-0.693,0.736,-183.411,32.471,41.321
0.176,-0.635,0.799,-185.791,29.053,44.739
0.149,-0.585,0.840,-191.101,28.503,43.518
0.153,-0.545,0.840,-198.730,29.053,36.316
0.142,-0.526,0.808,-205.139,25.818,26.062
0.161,-0.521,0.770,-209.473,16.907,18.494
0.204,-0.519,0.772,-211.975,2.808,15.686
0.215,-0.461,0.756,-211.914,-11.108,17.090
0.190,-0.442,0.761,-208.679,-22.095,17.517
0.194,-0.370,0.737,-195.068,-26.855,15.320
0.196,-0.305,0.739,-176.086,-25.330,13.855
0.199,-0.264,0.761,-156.921,-21.240,13.062
0.204,-0.244,0.798,-136.475,-12.939,12.939
0.220,-0.247,0.851,-118.164,-1.282,12.634
0.226,-0.230,0.891,-104.370,11.902,16.235
0.205,-0.206,0.894,-96.436,24.109,21.973
0.180,-0.165,0.855,-89.844,32.288,24.658
0.168,-0.143,0.804,-82.642,34.668,23.621
0.186,-0.113,0.761,-75.073,28.931,19.653
0.198,-0.100,0.759,-67.322,16.907,14.709
0.207,-0.089,0.771,-59.448,3.357,10.010
0.213,-0.086,0.801,-51.270,-7.202,4.883
0.229,-0.096,0.837,-44.067,-13.489,0.854
0.241,-0.102,0.865,-37.354,-15.381,-0.549
0.238,-0.100,0.886,-30.396,-12.939,0.488
0.234,-0.105,0.915,-24.048,-7.385,2.319
0.231,-0.110,0.928,-18.127,0.122,4.517
0.228,-0.103,0.923,-12.634,9.705,7.080
0.220,-0.099,0.914,-7.263,16.907,8.972
0.205,-0.094,0.904,-4.150,19.226,9.705
0.205,-0.084,0.887,-2.808,15.991,8.301
0.215,-0.081,0.880,-2.502,8.606,6.104
0.219,-0.083,0.902,-1.892,0.061,4.272
0.219,-0.077,0.933,-1.892,-6.226,3.113
0.218,-0.087,0.953,-2.075,-8.667,1.465
0.223,-0.092,0.960,-1.099,-7.874,0.305
0.227,-0.096,0.965,0.610,-5.737,0.366
0.223,-0.086,0.972,2.563,-2.747,2.014
0.220,-0.085,0.983,3.784,0.549,3.601
0.223,-0.087,0.985,3.418,3.906,3.906
0.223,-0.088,0.978,3.235,5.737,3.723
0.225,-0.082,0.966,2.991,6.775,4.333
0.216,-0.071,0.957,2.930,6.836,4.517
0.211,-0.062,0.946,3.296,5.615,3.296
0.212,-0.057,0.933,3.357,3.540,1.038
0.213,-0.057,0.928,3.296,0.549,-1.038
0.227,-0.072,0.936,2.930,-2.014,-2.319
0.240,-0.088,0.951,2.991,-3.296,-2.625
0.246,-0.097,0.962,2.686,-2.502,-1.099
0.245,-0.098,0.957,2.686,-0.061,0.854
0.245,-0.101,0.945,3.540,2.747,2.258
0.247,-0.097,0.936,4.211,4.456,3.357
0.246,-0.094,0.937,5.798,5.249,4.700
0.232,-0.092,0.942,6.348,5.371,5.005
0.226,-0.086,0.947,7.080,4.211,3.845
0.228,-0.082,0.949,7.019,3.052,2.258
0.229,-0.079,0.951,6.165,1.831,0.977
0.226,-0.076,0.952,5.066,0.854,0.427
0.226,-0.091,0.965,4.272,0.122,-0.061
0.222,-0.095,0.970,3.784,-0.366,-0.183
0.220,-0.087,0.961,3.174,0.977,0.305
0.221,-0.081,0.947,2.869,2.380,0.122
0.225,-0.087,0.942,4.028,2.563,-0.977
0.237,-0.098,0.948,4.761,2.380,-1.709
0.242,-0.110,0.953,3.906,1.099,-1.160
0.242,-0.113,0.945,3.113,-0.061,-0.305
0.240,-0.105,0.937,3.235,-0.854,-0.244
0.242,-0.106,0.942,3.479,-1.587,-0.549
0.242,-0.106,0.949,3.479,-2.258,-0.549
0.238,-0.107,0.954,3.113,-2.747,-0.122
0.233,-0.102,0.946,2.625,-2.380,0.549
0.229,-0.092,0.939,2.502,-1.404,1.038

0.028,-1.834,-0.656,792.175,-67.261,-212.402
0.456,-2.064,0.012,762.390,-88.867,-204.651
0.739,-2.114,0.805,683.289,-123.352,-154.114
0.747,-1.989,1.581,580.444,-151.184,-67.444
0.616,-1.769,2.074,481.445,-125.610,19.958
0.390,-1.635,1.984,391.785,-40.405,72.632
0.147,-1.506,1.433,305.420,42.786,84.656
-0.061,-1.400,0.801,209.534,61.951,65.796
-0.212,-1.314,0.450,115.784,18.311,21.973
-0.234,-1.316,0.390,36.133,-42.725,-35.767
-0.137,-1.405,0.501,-15.320,-82.458,-91.675
0.021,-1.514,0.626,-40.527,-91.919,-126.404
0.149,-1.590,0.742,-50.415,-85.571,-129.517
0.231,-1.598,0.767,-51.819,-65.247,-107.178
0.248,-1.565,0.698,-45.532,-33.020,-68.604
0.222,-1.491,0.559,-36.072,-1.343,-25.818
0.153,-1.394,0.420,-26.611,22.217,11.780
0.084,-1.268,0.305,-17.639,35.706,37.903
0.048,-1.140,0.235,-12.024,39.917,48.523
0.033,-1.048,0.208,-12.268,36.621,46.448
0.047,-0.972,0.210,-16.968,28.198,36.255
0.082,-0.917,0.224,-25.574,19.043,21.667
0.124,-0.901,0.236,-36.133,11.658,8.057
0.152,-0.887,0.230,-45.715,6.775,-0.977
0.170,-0.881,0.212,-54.443,3.906,-5.615
0.174,-0.882,0.198,-61.584,1.343,-7.568
0.168,-0.894,0.181,-66.040,-1.099,-7.935
0.154,-0.907,0.166,-67.688,-2.319,-7.080
0.144,-0.929,0.168,-66.345,-2.930,-5.615
0.145,-0.958,0.199,-65.002,-4.272,-4.028
0.141,-0.983,0.248,-65.552,-7.446,-0.671
0.130,-1.004,0.305,-67.322,-9.216,2.991
0.118,-1.010,0.346,-68.726,-7.812,5.493
0.116,-1.020,0.378,-71.533,-5.066,7.935
0.118,-1.025,0.402,-76.721,-2.747,10.742
0.123,-1.023,0.419,-82.458,-1.282,13.000
0.130,-1.028,0.446,-89.722,-0.549,13.672
0.145,-1.024,0.483,-97.839,-1.953,14.404
0.154,-1.023,0.531,-108.276,-3.601,16.052
0.162,-1.024,0.572,-120.972,-3.967,18.494
0.167,-1.026,0.613,-134.827,-3.174,21.545
0.152,-1.017,0.636,-148.315,-2.563,26.245
0.143,-1.000,0.655,-161.621,-0.671,31.555
0.131,-0.989,0.677,-173.279,2.686,37.292
0.123,-0.970,0.713,-183.899,6.409,43.152
0.114,-0.951,0.755,-194.702,11.108,47.974
0.104,-0.928,0.802,-205.811,17.151,52.002
0.076,-0.900,0.822,-215.759,22.339,55.298
0.055,-0.848,0.809,-222.900,28.076,57.739
0.031,-0.785,0.776,-227.722,34.790,57.739
